"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1"
    4,    452,      39077,          0,      39077,   0.952494,            39077,                0
    4,    453,      37460,          0,      37460,   0.958620,            37460,                0
    4,    454,      36137,          0,      36137,   0.964682,            36137,                0
    4,    455,      34913,          0,      34913,   0.966129,            34913,                0
    4,    456,      33773,          0,      33773,   0.967347,            33773,                0
    4,    457,      32907,          0,      32907,   0.974358,            30766,             2141
    4,    458,     122698,          0,     122698,   3.728629,           120703,             1995
    4,    459,     133500,          0,     133500,   1.088037,           131699,             1801
    4,    460,     131129,          0,     131129,   0.982240,           129678,             1451
    4,    461,     120373,          0,     120373,   0.917974,           120355,               18
    4,    462,      54767,          0,      54767,   0.454977,            54767,                0
    4,    463,      41884,          0,      41884,   0.764767,            41884,                0
    4,    464,      39937,          0,      39937,   0.953514,            39937,                0
    4,    465,      38202,          0,      38202,   0.956557,            38202,                0
    4,    466,      36767,          0,      36767,   0.962436,            36767,                0
    4,    467,      35515,          0,      35515,   0.965948,            35515,                0
    4,    468,      34364,          0,      34364,   0.967591,            34364,                0
    4,    469,      33503,          0,      33503,   0.974945,            31234,             2269
    4,    470,     130481,          0,     130481,   3.894606,           128375,             2106
    4,    471,     138957,          0,     138957,   1.064960,           137053,             1904
    4,    472,     138529,          0,     138529,   0.996920,           136988,             1541
    4,    473,     126719,          0,     126719,   0.914747,           126696,               23
    4,    474,      57259,          0,      57259,   0.451858,            57259,                0
    4,    475,      43207,          0,      43207,   0.754589,            43207,                0
    4,    476,      41223,          0,      41223,   0.954082,            41223,                0
    4,    477,      39528,          0,      39528,   0.958882,            39528,                0
    4,    478,      38122,          0,      38122,   0.964430,            38122,                0
    4,    479,      36862,          0,      36862,   0.966948,            36862,                0
    4,    480,      35543,          0,      35543,   0.964218,            35543,                0
    4,    481,      34657,          0,      34657,   0.975072,            32429,             2228
    4,    482,     128824,          0,     128824,   3.717113,           126774,             2050
    4,    483,     137578,          0,     137578,   1.067953,           135744,             1834
