COMID,COMID_1,rid
23823147,23823147,1067
23823801,23823801,1068
23822813,23822813,1069
23822333,23822333,1070
23822357,23822357,1071
23822757,23822757,1072
23822337,23822337,1073
23822713,23822713,1074
23822977,23822977,1075
23823785,23823785,1076
23823645,23823645,1077
23823547,23823547,1078
23681391,23681391,1079
23822735,23822735,1080
23822869,23822869,1081
23823591,23823591,1082
23681669,23681669,1083
23822773,23822773,1084
23821923,23821923,1085
23822717,23822717,1086
23822737,23822737,1087
23823521,23823521,1088
23823039,23823039,1089
23821857,23821857,1090
23823569,23823569,1091
23682351,23682351,1092
23821855,23821855,1093
23821813,23821813,1094
23821807,23821807,1095
23821801,23821801,1096
23689816,23689816,1097
23689820,23689820,1098
23681553,23681553,1099
23821797,23821797,1100
23681293,23681293,1101
23689742,23689742,1102
23681659,23681659,1103
25065889,25065889,1104
23686062,23686062,1105
23821831,23821831,1106
23687204,23687204,1107
23824889,23824889,1108
23681411,23681411,1109
23689716,23689716,1110
23689734,23689734,1111
23687202,23687202,1112
23689780,23689780,1113
23821793,23821793,1114
23689704,23689704,1115
23689708,23689708,1116
23689706,23689706,1117
23686052,23686052,1118
23681373,23681373,1119
23689660,23689660,1120
23681283,23681283,1121
23673859,23673859,1122
23821787,23821787,1123
23681363,23681363,1124
23681361,23681361,1125
23673665,23673665,1126
23681281,23681281,1127
23681357,23681357,1128
23681355,23681355,1129
23823259,23823259,1130
23681429,23681429,1131
23822963,23822963,1132
23681351,23681351,1133
23671707,23671707,1134
23825037,23825037,1135
23823231,23823231,1136
23686084,23686084,1137
23686080,23686080,1138
23681331,23681331,1139
23681577,23681577,1140
23681323,23681323,1141
23681107,23681107,1142
947070172,947070172,1143
23686030,23686030,1144
23670727,23670727,1145
23682079,23682079,1146
23681101,23681101,1147
23681259,23681259,1148
23682053,23682053,1149
23681569,23681569,1150
23682075,23682075,1151
23682035,23682035,1152
23682017,23682017,1153
23671829,23671829,1154
23670669,23670669,1155
23673513,23673513,1156
23681505,23681505,1157
23682023,23682023,1158
23673495,23673495,1159
23673523,23673523,1160
23671101,23671101,1161
23821747,23821747,1165
23673455,23673455,1166
23671091,23671091,1167
23670663,23670663,1168
23681981,23681981,1169
23670713,23670713,1170
23681445,23681445,1171
23821723,23821723,1172
23671119,23671119,1173
23821729,23821729,1174
23671081,23671081,1175
23671819,23671819,1176
23681131,23681131,1177
23671737,23671737,1178
23681447,23681447,1179
23681917,23681917,1180
23685914,23685914,1182
23671739,23671739,1183
23681453,23681453,1184
23671075,23671075,1187
23673313,23673313,1188
23670957,23670957,1189
23673329,23673329,1190
23670955,23670955,1191
23670691,23670691,1192
23686422,23686422,1193
23673273,23673273,1196
23681057,23681057,1197
23671705,23671705,1198
23670699,23670699,1199
23670763,23670763,1201
23681145,23681145,1202
23686216,23686216,1204
23673283,23673283,1206
23673317,23673317,1207
23670755,23670755,1208
23673217,23673217,1209
23671055,23671055,1210
23670779,23670779,1211
23673813,23673813,1212
23685864,23685864,1213
23671039,23671039,1214
23681043,23681043,1215
23673199,23673199,1216
23685902,23685902,1217
23671031,23671031,1218
23681175,23681175,1219
23671725,23671725,1220
23671721,23671721,1221
23673149,23673149,1222
23673155,23673155,1223
23686394,23686394,1224
23681157,23681157,1225
23670923,23670923,1226
23673075,23673075,1227
23673145,23673145,1228
23686398,23686398,1229
23681465,23681465,1231
23673807,23673807,1232
23673085,23673085,1233
23681035,23681035,1234
23681033,23681033,1235
23681031,23681031,1236
23670917,23670917,1237
23670911,23670911,1238
23673067,23673067,1239
23671011,23671011,1240
23671657,23671657,1241
23672919,23672919,1242
23671735,23671735,1243
23671733,23671733,1244
23686468,23686468,1245
23671533,23671533,1246
23672971,23672971,1247
23671605,23671605,1248
23673023,23673023,1249
23672993,23672993,1250
23686456,23686456,1251
23672985,23672985,1253
23673001,23673001,1254
23672921,23672921,1255
23672949,23672949,1256
23673767,23673767,1258
23672885,23672885,1259
23670971,23670971,1260
23686504,23686504,1261
23671199,23671199,1262
23670813,23670813,1263
23671573,23671573,1265
23671843,23671843,1266
23670897,23670897,1267
23670847,23670847,1268
23670865,23670865,1269
23670867,23670867,1270
23672827,23672827,1271
23670839,23670839,1272
23672743,23672743,1273
23671943,23671943,1274
23670829,23670829,1275
23670995,23670995,1276
23670837,23670837,1277
23671545,23671545,1278
23671499,23671499,1279
23672677,23672677,1280
23672639,23672639,1282
23686704,23686704,1283
23686588,23686588,1284
23672599,23672599,1285
23671519,23671519,1286
23671227,23671227,1287
23671225,23671225,1291
23671887,23671887,1292
23671233,23671233,1293
23671297,23671297,1294
23671235,23671235,1295
23686520,23686520,1297
23671289,23671289,1298
23672399,23672399,1299
23671439,23671439,1301
23672337,23672337,1302
23672239,23672239,1303
23671265,23671265,1304
23671255,23671255,1305
23671445,23671445,1306
23671485,23671485,1307
23672169,23672169,1309
23671321,23671321,1311
23671367,23671367,1312
23671863,23671863,1314
23671357,23671357,1315
23685660,23685660,1316
23686654,23686654,1317
23671447,23671447,1318
23671449,23671449,1319
23671421,23671421,1320
23671867,23671867,1321
23686644,23686644,1322
