"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35","Trait Index 36"
    1,     31,        415,          0,        415,   0.871849,                0,                0,                0,                0,                0,                0,              337,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               56,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               22,                0,                0,                0,                0,                0,                0
    1,     32,        368,          0,        368,   0.886747,                0,                0,                0,                0,                0,                0,                0,              294,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               55,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               19,                0,                0,                0,                0,                0
    1,     33,        336,          0,        336,   0.913043,                0,                0,                0,                0,                0,                0,                0,                0,              264,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               54,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               18,                0,                0,                0,                0
    1,     34,        307,          0,        307,   0.913690,                0,                0,                0,                0,                0,                0,                0,                0,                0,              236,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               53,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               18,                0,                0,                0
    1,     35,        283,          0,        283,   0.921824,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              215,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               51,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               17,                0,                0
    1,     36,        262,          0,        262,   0.925795,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              199,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               49,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               14,                0
    1,     37,        243,          0,        243,   0.927481,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              184,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               46,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               13
    1,     38,       1203,          0,       1203,   4.950617,                0,              980,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              176,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               38,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                9
    1,     39,       1152,          0,       1152,   0.957606,                0,                0,              939,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              168,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               38,                0,                0,                0,                0,                0,                0,                0,                0,                0,                7
    1,     40,       1084,          0,       1084,   0.940972,                0,                0,                0,              880,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              161,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               36,                0,                0,                0,                0,                0,                0,                0,                0,                7
