Step,Seg 165,Seg 314,Seg 315,Seg 316,Seg 317,Seg 318,Seg 319,Seg 320,Seg 321,Seg 527,Seg 641,Seg 642,Seg 643,Seg 646,Seg 647,Seg 648,Seg 815,Seg 817,Seg 836,Seg 990,Seg 994,Seg 995,Seg 996,Seg 997,Seg 998,Seg 999,Seg 1000,Seg 1001,Seg 1162,Seg 1163,Seg 1329,Seg 1330,Seg 1336,Seg 1337,Seg 1338,Seg 1339,Seg 1341,Seg 1489,Seg 1509,Seg 1660,Seg 1662,Seg 1663,Seg 1664,Seg 1665,Seg 1666,Seg 1669,Seg 1674,Seg 1675,Seg 1677,Seg 1839,Seg 1840,Seg 1868,Seg 1877,Seg 1882,Seg 2022,Seg 2023,Seg 2025,Seg 2030,Seg 2032,Seg 2033,Seg 2121,Seg 2129,Seg 2214,Seg 2216,
75,0,0,2404,2560,752,2,16,0,2,0,0,1056,0,0,0,0,0,0,0,0,0,0,0,974,0,0,49315,29457,0,0,0,0,0,0,274,0,5421,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,2890,0,0,0,0,0,
76,0,0,2774,2370,1108,0,12,0,2,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,914,0,0,53301,33456,0,0,0,0,0,0,256,0,7060,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,989,3086,0,0,0,0,0,
77,0,0,2578,2204,1414,2,10,0,6,0,0,952,0,0,0,0,0,0,0,0,0,0,0,856,0,0,52114,33898,0,0,0,0,0,0,232,0,7354,0,0,0,0,0,0,0,0,0,2,0,50,0,0,0,0,0,0,0,0,1846,2890,0,0,0,0,0,
78,0,0,2272,1958,1248,2,6,0,6,0,0,836,0,0,0,0,0,0,0,0,0,0,0,762,0,0,46136,29928,0,0,0,0,0,0,210,0,6486,0,0,0,0,0,0,0,0,0,2,0,36,0,0,0,0,0,0,0,0,1638,2530,0,0,0,0,0,
79,0,0,1980,1656,1048,2,6,0,6,0,0,714,0,0,0,0,0,0,0,0,0,0,0,666,0,0,39412,25462,0,0,0,0,0,0,180,0,5518,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,1386,2138,0,0,0,0,0,
80,0,0,1584,1308,828,2,6,0,6,0,0,556,0,0,0,0,0,0,0,0,0,0,0,514,0,0,31140,20376,0,0,0,0,0,0,140,0,4448,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,1120,1716,0,0,0,0,0,
81,0,0,1188,992,618,2,6,0,4,0,0,410,0,0,0,0,0,0,0,0,0,0,0,384,0,0,24082,15858,0,0,0,0,0,0,98,0,3402,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,854,1340,0,0,0,0,0,
82,0,0,918,768,478,2,0,0,4,0,0,310,0,0,0,0,0,0,0,0,0,0,0,300,0,0,18820,12234,0,0,0,0,0,0,74,0,2588,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,652,1040,0,0,0,0,0,
83,0,0,696,586,390,2,0,0,2,0,0,228,0,0,0,0,0,0,0,0,0,0,0,210,0,0,14636,9624,0,0,0,0,0,0,52,0,2020,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,508,806,0,0,0,0,0,
84,0,0,554,470,320,2,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,170,0,0,14570,8205,0,0,0,0,0,0,34,0,2027,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,404,618,0,0,0,0,0,
85,0,0,458,404,685,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,144,0,0,25198,15797,0,0,0,0,0,0,22,0,4129,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,348,1079,0,0,0,0,0,
86,0,0,820,911,1382,0,0,0,0,0,826,128,0,0,0,0,0,0,0,0,0,0,0,124,0,0,35209,26310,0,0,0,0,0,0,20,0,5380,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,312,1462,0,0,0,0,0,
87,0,0,1487,2178,1646,0,0,0,412,0,1496,114,0,0,0,0,0,0,0,0,0,0,0,116,0,0,43859,32119,0,0,0,0,0,0,18,0,5253,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,292,1280,0,0,0,0,0,
88,0,0,1792,2762,1554,0,0,0,784,0,1390,106,0,0,0,0,0,0,0,0,0,0,0,108,0,0,52415,38786,0,0,0,0,0,0,16,0,5669,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,278,2191,0,0,0,0,0,
89,0,0,1612,2506,1396,0,0,0,736,0,1276,100,0,0,0,0,0,0,0,0,0,0,0,96,0,0,52148,40784,0,0,0,0,0,0,14,0,5644,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,246,2936,0,0,0,0,0,
90,0,0,1428,2190,1216,0,0,0,658,0,1116,76,0,0,0,0,0,0,0,0,0,0,0,76,0,0,46422,36354,0,0,0,0,0,0,12,0,5056,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,200,2664,0,0,0,0,0,
91,0,0,1214,1850,1012,0,0,0,546,0,938,56,0,0,0,0,0,0,0,0,0,0,0,58,0,0,39462,30920,0,0,0,0,0,0,10,0,4268,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,160,2246,0,0,0,0,0,
92,0,0,1030,1488,838,0,0,0,462,0,750,34,0,0,0,0,0,0,0,0,0,0,0,48,0,0,31622,24902,0,0,0,0,0,0,10,0,3440,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,134,1778,0,0,0,0,0,
